"Time (UTCG)","Electron dose (rads)","Proton dose (rads)","Combined dose (rads)"
1 Jan 2020 00:00:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:01:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:02:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:03:00.000,0.000e+00,0.000e+00,0.000e+00
1 Jan 2020 00:04:00.000,0.000e+00,1.732e-05,1.732e-05
1 Jan 2020 00:05:00.000,0.000e+00,7.239e-05,7.239e-05
1 Jan 2020 00:06:00.000,0.000e+00,1.768e-04,1.768e-04
1 Jan 2020 00:07:00.000,0.000e+00,3.327e-04,3.327e-04
1 Jan 2020 00:08:00.000,0.000e+00,5.460e-04,5.460e-04
1 Jan 2020 00:09:00.000,0.000e+00,8.068e-04,8.068e-04
1 Jan 2020 00:10:00.000,0.000e+00,1.091e-03,1.091e-03
1 Jan 2020 00:11:00.000,0.000e+00,1.409e-03,1.409e-03
1 Jan 2020 00:12:00.000,0.000e+00,1.984e-03,1.984e-03
1 Jan 2020 00:13:00.000,0.000e+00,3.086e-03,3.086e-03
1 Jan 2020 00:14:00.000,0.000e+00,4.406e-03,4.406e-03
1 Jan 2020 00:15:00.000,0.000e+00,5.713e-03,5.713e-03
1 Jan 2020 00:16:00.000,0.000e+00,7.194e-03,7.194e-03
1 Jan 2020 00:17:00.000,2.547e-11,8.878e-03,8.879e-03
1 Jan 2020 00:18:00.000,5.228e-11,1.071e-02,1.071e-02
1 Jan 2020 00:19:00.000,7.809e-11,1.249e-02,1.249e-02
1 Jan 2020 00:20:00.000,1.024e-10,1.411e-02,1.411e-02
1 Jan 2020 00:21:00.000,1.245e-10,1.552e-02,1.552e-02
1 Jan 2020 00:22:00.000,1.440e-10,1.670e-02,1.670e-02
1 Jan 2020 00:23:00.000,1.606e-10,1.763e-02,1.763e-02
1 Jan 2020 00:24:00.000,1.606e-10,1.828e-02,1.828e-02
1 Jan 2020 00:25:00.000,1.606e-10,1.875e-02,1.875e-02
1 Jan 2020 00:26:00.000,1.606e-10,1.905e-02,1.905e-02
1 Jan 2020 00:27:00.000,1.606e-10,1.922e-02,1.922e-02
